producto|precio|url_producto|reviews|estado|cantidad_vendidos
Placa de video AMD MSI  Radeon RX 500 Series RX 550 RADEON RX 550 2GT LP OC OC Edition 2GB|33750|https://www.mercadolibre.com.ar/placa-de-video-amd-msi-radeon-rx-500-series-rx-550-radeon-rx-550-2gt-lp-oc-oc-edition-2gb/p/MLA16226503?pdp_filters=category:MLA1658#searchVariation=MLA16226503&position=5&search_layout=grid&type=product&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c|38|Nuevo|576
Compro Placas Rx 470/480/570/580 Con 8gb Vram Para Reparar|6000|https://articulo.mercadolibre.com.ar/MLA-916678318-compro-placas-rx-470480570580-con-8gb-vram-para-reparar-_JM#position=23&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c|||
Arktek Radeon R7 250 2gb Gddr5 Vga Dvi Hdmi Cooler 128bits|20999|https://articulo.mercadolibre.com.ar/MLA-916893123-arktek-radeon-r7-250-2gb-gddr5-vga-dvi-hdmi-cooler-128bits-_JM#position=24&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|1
Compro Placas Rx 470/480/570/580 Para Reparar|6000|https://articulo.mercadolibre.com.ar/MLA-911987154-compro-placas-rx-470480570580-para-reparar-_JM#position=25&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c|||
Placa De Video Pci Expres 512mb Hdmi Dvi Bajo Perfil Envio|5000|https://articulo.mercadolibre.com.ar/MLA-794740239-placa-de-video-pci-expres-512mb-hdmi-dvi-bajo-perfil-envio-_JM#position=26&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|7
Arktek Radeon R7 250 2gb Gddr5 Vga Dvi Hdmi Cooler 128bits|13799|https://articulo.mercadolibre.com.ar/MLA-912192622-arktek-radeon-r7-250-2gb-gddr5-vga-dvi-hdmi-cooler-128bits-_JM#position=27&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|7
Soporte Rgb Placa De Video Rog Republic Of Gamers Coolmoon|2298|https://articulo.mercadolibre.com.ar/MLA-913200939-soporte-rgb-placa-de-video-rog-republic-of-gamers-coolmoon-_JM#position=28&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
Vga Arktek Radeon Rx550 Ddr5 4gb 128 Bit |44499|https://articulo.mercadolibre.com.ar/MLA-912539879-vga-arktek-radeon-rx550-ddr5-4gb-128-bit-_JM#position=29&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|14
Placa Video Msi Amd Rx 6700 Xt 12gb Gddr6 Radeon Alpha S.i|269178|https://articulo.mercadolibre.com.ar/MLA-917260786-placa-video-msi-amd-rx-6700-xt-12gb-gddr6-radeon-alpha-si-_JM#position=30&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
Placa De Video Sapphire Radeon Xt 6700 Nitro+ 12gb Gddr6 |289990|https://articulo.mercadolibre.com.ar/MLA-918084746-placa-de-video-sapphire-radeon-xt-6700-nitro-12gb-gddr6-_JM#position=31&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
Placa de video Nvidia MSI  Gaming X Trio GeForce RTX 30 Series RTX 3070 GEFORCE RTX 3070 GAMING X TRIO 8GB|390900|https://www.mercadolibre.com.ar/placa-de-video-nvidia-msi-gaming-x-trio-geforce-rtx-30-series-rtx-3070-geforce-rtx-3070-gaming-x-trio-8gb/p/MLA16599628?pdp_filters=category:MLA1658#searchVariation=MLA16599628&position=6&search_layout=grid&type=product&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|70
Placa de video AMD Sapphire  Pulse Radeon RX 5600 Series RX 5600 XT 11296-01-20G 6GB|198999|https://www.mercadolibre.com.ar/placa-de-video-amd-sapphire-pulse-radeon-rx-5600-series-rx-5600-xt-11296-01-20g-6gb/p/MLA15798047?pdp_filters=category:MLA1658#searchVariation=MLA15798047&position=7&search_layout=grid&type=product&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c|16|Nuevo|180
Cooler Placa De Video Sapphire Cf1015h12d Nitro+ Rx580 Rx480|6500|https://articulo.mercadolibre.com.ar/MLA-785338126-cooler-placa-de-video-sapphire-cf1015h12d-nitro-rx580-rx480-_JM#position=32&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|2
Placa De Video Asus Tuf Gaming Radeon Rx 6900 Xt 16gb Gddr6|499999|https://articulo.mercadolibre.com.ar/MLA-906705089-placa-de-video-asus-tuf-gaming-radeon-rx-6900-xt-16gb-gddr6-_JM#position=33&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
Placa De Video Msi Radeon Rx 6700 Xt Gaming X 12gb Pcie|285601|https://articulo.mercadolibre.com.ar/MLA-914885707-placa-de-video-msi-radeon-rx-6700-xt-gaming-x-12gb-pcie-_JM#position=34&search_layout=grid&type=item&tracking_id=718ba6c0-78be-447f-9fc8-8f6ab67a592c||Nuevo|0
